Locality,ID,Lat,Long,OpH2O,DevOp,DevLow,DevMed,DevHi,Barren,DecForest,EvGForest,MixForest,ShrubScrub,GrassHerb,PastureHay,Crops,WoodyWetlands,EmHerbWetlands,
BassesCr,401.1,35.8516,-85.0126,0.050502359,0.147616129,0.025904112,0.002984836,0.000159902,0.005676518,0.405084881,0.014417824,0.054473256,0,0.115049436,0.17509261,0.003038137,0,0,
BeaverCr1,567.1,35.966,-84.1774,0.000463125,0.224565664,0.18919291,0.060143694,0.011678266,0.002482518,0.161159232,0.035764949,0.049792219,0.000913734,0.073678633,0.18124468,0.001038903,0.007881473,0,
BeaverCr2,570.2,36.5361,-82.2417,0.001710215,0.144660392,0.093767343,0.036611056,0.01442923,0.000198204,0.325195655,0.003856478,0.0029051,0.002185904,0.010952171,0.356879934,0.005317522,0.001330796,0,
BeaverdamCr1,581.1,35.1918,-84.1423,0,0.027415056,0.000435266,0.000107142,0,0.000214285,0.809922724,0.02298204,0.022513292,0.004720961,0.002390614,0.102260704,0.003006683,0.004031232,0,
BeaverdamCr2,586.1,36.6133,-81.805,0,0.021165734,5.88755E-05,0,0,0,0.844318516,0.067736238,0.044186047,0.002678834,0.004386223,0.014763026,0,0.000706506,0,
BentCr,736.1,36.19800186,-83.15477753,0.000176089,0.061182085,0.006726596,0.001769693,0.000228916,0.001461538,0.231468845,0.048952711,0.03835216,0.010952729,0.02147404,0.567648949,0.0063392,0.003266449,0,
BigCedarCr,863.1,36.9524,-82.0528,6.95849E-05,0.060638876,0.008624176,0.005653772,0.000669754,0.00128732,0.438215148,0.016552504,0.011029204,0.00625829,0.02223237,0.42582469,0.002813839,0.000130472,0,
BigCr1,878.1,36.3726,-84.1099,7.83303E-05,0.027287422,0.012233766,0.002470964,0,0.001246164,0.565024816,0.009193127,0.041935185,0.004407859,0.1648354,0.167000164,0.004087417,0.000199386,0,
BigCr2,886.1,36.4256,-82.9519,0.003190072,0.063384168,0.032923694,0.011656549,0.003405435,0.000242284,0.755818179,0.013689042,0.06225351,0.003230452,0.049452842,0.000471108,0,0.000282665,0,
BigLaurelCr,921.1,35.9143,-82.7573,2.97007E-05,0.034244874,0.001088125,5.13012E-05,0,0.001493134,0.847719258,0.032033524,0.021954196,0.007400867,0.007476469,0.045455527,0.000990922,6.21014E-05,0,
BigLimestoneCr,924.1,36.2053,-82.6504,3.5369E-05,0.05594486,0.011291542,0.000539377,0,0.001100859,0.168201532,0.002975414,0.001710974,0.001587182,0.013970741,0.695433425,0.046147657,0.001061069,0,
BigLostCr,925.1,35.1794,-84.4898,0,0.014691002,0,0,0,0,0.70344414,0.191339055,0.082468238,0.002510962,0.003654012,0.001892591,0,0,0,
BigMoccasinCr1,927.1,36.6926,-82.4605,0.000779673,0.096381398,0.058223262,0.011786828,0.002660062,0.000986058,0.587896716,0.003325078,0.003737846,0.002430747,0.019285452,0.212506879,0,0,0,
BigMoccasinCr2,927.11,36.709,-82.4172,0,0.03263961,0.000225723,0,0,0.000406302,0.596000181,0.027447971,0.00433389,0.003476141,0.022843212,0.308789671,0.003340707,0.000496592,0,
BigMoccasinCr8,927.7,36.6111,-82.5497,0,0.05249557,0,0,0,0.000369167,0.463452451,0.016907856,0.004651506,0.001107501,0.023257531,0.435395747,0.00236267,0,0,
BigMoccasinCr9,927.8,36.6476,-82.5532,0,0.058726191,0.004647396,0,0,0.001443509,0.518043869,0.011266416,0.002429321,0.004436151,0.029996831,0.367531599,0.001302679,0.000176038,0,
BigMoccasinCr10,927.9,36.6814,-82.5231,0,0.037108159,0.006435541,0,0,0.000674694,0.74673033,0.006643139,0.002594976,0.001245589,0.017853436,0.180714137,0,0,0,
BigSeweeCr,948.1,35.606,-84.6752,0.000452373,0.038414985,0.003484491,0.000452373,0,0.000635767,0.39923708,0.05432138,0.06251299,0.069445293,0.043819002,0.28250052,0.03727794,0.007152376,0.000293431,
BigWarCr,966.1,36.4269,-83.3438,5.95601E-05,0.046427136,0.018731667,0.001905925,0.00017868,0.005047723,0.5563439,0.02228294,0.061927664,0.001608124,0.18279754,0.10255513,0,0.00013401,0,
BlackCr,1043.2,35.0084,-85.3717,0.000166187,0.134721914,0.099711943,0.04442721,0.029415023,0.002548194,0.567527144,0.01584312,0.059328606,0.020219366,0.013461112,0.007090627,0,0.005539552,0,
BrasstownCr,1326.1,34.9554,-83.8543,6.62217E-05,0.072843823,0.009125344,0.001139013,0,0.00039733,0.720266476,0.06567864,0.041679911,0.009125344,0.011125238,0.066155435,0.001152257,0.001244967,0,
BrymerCr,1511.1,35.12286111,-84.95227777,0.006038604,0.117752777,0.022932317,0.001293987,0.00017972,0.00017972,0.361417634,0.090507171,0.121706624,0.043060997,0.033248266,0.181625391,0.019014414,0.001042378,0,
