Locality,ID,Lat,Long,Slope,Sinuosity,Elevation,DrainArea,BankStabil,BankVeg,ChanAlt,Embed,EpiSub,RiffFreq,Cover,RipZone,SedDep,Limestone,Shale,Dolomite,Mudstone,Sandstone,Chert,Siltstone,Gneiss,Conglomerate,Claystone,Arkose,Amphibolite,Schist,Metasedimentary,Slate,Marble,Quartzite,Phyllite,Migmatite
BassesCr,401.1,35.8516,-85.0126,0.00025943,1.1290694,533,13.1,3,4,4,1,1,1,4,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BeaverCr1,567.1,35.966,-84.1774,0.00296366,2.753723014,262,86.2,3,3,4,3,2,3,4,2.5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeaverCr2,570.2,36.5361,-82.2417,0.00261213,2.034921371,444,60.2,2.5,3,4,1,3,3,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BeaverdamCr1,581.1,35.1918,-84.1423,0.01521899,1.391148443,499,23.6,4,4,4,2,3,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
BeaverdamCr2,586.1,36.6133,-81.805,0.00999376,1.149625517,616,52.4,4,3.5,4,4,4,4,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BentCr,736.1,36.19800186,-83.15477753,0.00585069,1.132418821,318,44,3,2,4,2,3,3,3,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigCedarCr,863.1,36.9524,-82.0528,0.00918756,1.783584598,533,79,4,4,4,3,4,4,3,3.5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigCr1,878.1,36.3726,-84.1099,0.002703,1.411464968,322,26,1,2,3,2,3,3,3,2.5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigCr2,886.1,36.4256,-82.9519,0.00498095,2.091690997,343,47.3,2.5,2,3,3,3,3,2,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BigLaurelCr,921.1,35.9143,-82.7573,0.00674001,1.213089849,486,127.5,4,3,3,3,2,4,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
BigLimestoneCr,924.1,36.2053,-82.6504,0.00313865,1.426572793,420,79,3,4,4,2,1,4,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigLostCr,925.1,35.1794,-84.4898,0.00526789,1.578966105,239,18.5,4,4,4,4,4,4,4,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr1,927.1,36.6926,-82.4605,0.00221808,2.368195878,487,79.6,4,3.5,3,3,4,2,3,2.5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr2,927.11,36.709,-82.4172,0.0014204,2.056604055,505,57.3,2,2.5,3,2,4,4,4,1.5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr8,927.7,36.6111,-82.5497,0.004564,1.470673433,366,94.6,3,3,3,3,4,4,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr9,927.8,36.6476,-82.5532,0.00426419,1.195482433,386,79.6,3,2.5,3,3,4,4,3,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigMoccasinCr10,927.9,36.6814,-82.5231,0.00518174,2.290000965,426,73.8,3.5,3.5,4,3,4,4,4,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigSeweeCr,948.1,35.606,-84.6752,0.00216467,1.559244859,226,55,3,3,3,3,2,2,2,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigWarCr,966.1,36.4269,-83.3438,0.00421274,1.623563295,361,46,3,2,4,3,3,3,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlackCr,1043.2,35.0084,-85.3717,0.00385076,1.223379177,201,6.2,2,3,2,2,2,2,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrasstownCr,1326.1,34.9554,-83.8543,0.00153321,1.564447887,545,25.5,3.5,3.5,4,4,4,4,4,2.5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BrymerCr,1511.1,35.12286111,-84.95227777,0.00191769,1.176928158,237,8.5,3.5,4,4,3,3,3,4,3.5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BuffaloCr,1609.1,36.31999969,-82.27749634,0.00816375,1.076325973,448,37.7,2.5,2.5,3,3,3,4,4,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BullrunCr1,1642.1,36.0472,-84.0773,0.001838,1.272759367,245,90.7,2,2,3,2,2,2,3,1.5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BullrunCr2,1642.2,36.1801,-83.9015,0.00327261,1.326386558,284,53.6,3,3,4,2,2,3,4,2.5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CallahanCr,1796.1,36.9195,-82.7936,0.00489992,1.033977115,507,27,3,2,3,2,3,3,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
